,Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbo,Sugars,Potass,Vitamins,Shelf,Weight,Scoope,Rating,Caloric density,Sugar to fiber ratio
16,Corn flakes,Kelloggs,Cold,100,2.0,0,290,1.0,21.0,2.0,35.0,Standard,Top,1.0,1.0,4.6,100.0,2.0
17,Corn pops,Kelloggs,Cold,110,1.0,0,90,1.0,13.0,12.0,20.0,Standard,Middle,1.0,1.0,3.6,110.0,12.0
18,Count chocula,General mills,Cold,110,1.0,1,180,0.0,12.0,13.0,65.0,Standard,Middle,1.0,1.0,2.2,110.0,33.03
19,Cracklin' oat bran,Kelloggs,Cold,110,3.0,3,140,4.0,10.0,7.0,160.0,Standard,Bottom,1.0,0.5,4.0,110.0,1.75
20,Cream of wheat (quick),Nabisco,Hot,100,3.0,0,80,1.0,21.0,0.0,96.08,Minimal,Middle,1.0,1.0,6.5,100.0,0.0
21,Crispix,Kelloggs,Cold,110,2.0,0,220,1.0,21.0,3.0,30.0,Standard,Bottom,1.0,1.0,4.7,110.0,3.0
22,Crispy wheat & raisins,General mills,Cold,100,2.0,1,140,2.0,11.0,10.0,120.0,Standard,Bottom,1.0,0.75,3.6,100.0,5.0
23,Double chex,Ralston purina,Cold,100,2.0,0,190,1.0,18.0,5.0,80.0,Standard,Bottom,1.0,0.75,4.4,100.0,5.0
24,Froot loops,Kelloggs,Cold,110,2.0,1,125,1.0,11.0,13.0,30.0,Standard,Middle,1.0,1.0,3.2,110.0,13.0
25,Frosted flakes,Kelloggs,Cold,110,1.0,0,200,1.0,14.0,11.0,25.0,Standard,Top,1.0,0.75,3.1,110.0,11.0
26,Frosted mini-wheats,Kelloggs,Cold,100,3.0,0,10,3.0,14.0,7.0,100.0,Standard,Middle,1.0,0.8,5.8,100.0,2.33
27,Fruit & fibre dates; walnuts; and oats,Post,Cold,120,3.0,2,160,5.0,12.0,10.0,200.0,Standard,Bottom,1.0,0.67,4.1,96.0,2.0
28,Fruitful bran,Kelloggs,Cold,120,3.0,0,240,5.0,14.0,12.0,190.0,Standard,Bottom,1.0,0.67,4.1,90.22556390977444,2.4
29,Fruity pebbles,Post,Cold,110,1.0,1,135,0.0,13.0,12.0,25.0,Standard,Middle,1.0,0.75,2.8,110.0,33.03
30,Golden crisp,Post,Cold,100,2.0,0,45,0.0,11.0,15.0,40.0,Standard,Top,1.0,0.88,3.5,100.0,33.03
31,Golden grahams,General mills,Cold,110,1.0,1,280,0.0,15.0,9.0,45.0,Standard,Middle,1.0,0.75,2.4,110.0,33.03
32,Grape nuts flakes,Post,Cold,100,3.0,1,140,3.0,15.0,5.0,85.0,Standard,Bottom,1.0,0.88,5.2,100.0,1.67
33,Grape-nuts,Post,Cold,110,3.0,0,170,3.0,17.0,3.0,90.0,Standard,Bottom,1.0,0.25,5.3,110.0,1.0
34,Great grains pecan,Post,Cold,120,3.0,3,75,3.0,13.0,4.0,100.0,Standard,Bottom,1.0,0.33,4.6,120.0,1.33
35,Honey graham ohs,Quaker oats,Cold,120,1.0,2,220,1.0,12.0,11.0,45.0,Standard,Middle,1.0,1.0,2.2,120.0,11.0
36,Honey nut cheerios,General mills,Cold,110,3.0,1,250,1.5,11.5,10.0,90.0,Standard,Top,1.0,0.75,3.1,110.0,6.67
37,Honey-comb,Post,Cold,110,1.0,0,180,0.0,14.0,11.0,35.0,Standard,Top,1.0,1.33,2.9,110.0,33.03
38,Just right crunchy  nuggets,Kelloggs,Cold,110,2.0,1,170,1.0,17.0,6.0,60.0,High,Bottom,1.0,1.0,3.7,110.0,6.0
39,Just right fruit & nut,Kelloggs,Cold,125,3.0,1,170,2.0,20.0,9.0,95.0,High,Bottom,1.0,0.75,3.6,107.6923076923077,4.5
40,Kix,General mills,Cold,110,2.0,1,260,0.0,21.0,3.0,40.0,Standard,Middle,1.0,1.4949999999999999,3.9,110.0,33.03
41,Life,Quaker oats,Cold,100,4.0,2,150,2.0,12.0,6.0,95.0,Standard,Middle,1.0,0.67,4.5,100.0,3.0
42,Lucky charms,General mills,Cold,110,2.0,1,180,0.0,12.0,12.0,55.0,Standard,Middle,1.0,1.0,2.7,110.0,33.03
43,Maypo,American home food products,Hot,100,4.0,1,10,0.0,16.0,3.0,95.0,Standard,Middle,1.0,1.0,5.5,100.0,33.03
44,Muesli raisins; dates; & almonds,Ralston purina,Cold,125,4.0,3,95,3.0,16.0,11.0,170.0,Standard,Bottom,1.0,1.0,3.7,125.0,3.67
45,Muesli raisins; peaches; & pecans,Ralston purina,Cold,125,4.0,3,150,3.0,16.0,11.0,170.0,Standard,Bottom,1.0,1.0,3.4,125.0,3.67
46,Mueslix crispy blend,Kelloggs,Cold,125,3.0,2,150,3.0,17.0,13.0,160.0,Standard,Bottom,1.0,0.67,3.0,106.66666666666667,4.33
47,Multi-grain cheerios,General mills,Cold,100,2.0,1,220,2.0,15.0,6.0,90.0,Standard,Top,1.0,1.0,4.0,100.0,3.0
48,Nut&honey crunch,Kelloggs,Cold,120,2.0,1,190,0.0,15.0,9.0,40.0,Standard,Middle,1.0,0.67,3.0,120.0,33.03
49,Nutri-grain almond-raisin,Kelloggs,Cold,125,3.0,2,220,3.0,21.0,7.0,130.0,Standard,Bottom,1.0,0.67,4.1,105.26315789473684,2.33
50,Nutri-grain wheat,Kelloggs,Cold,90,3.0,0,170,3.0,18.0,2.0,90.0,Standard,Bottom,1.0,1.0,6.0,90.0,0.67
51,Oatmeal raisin crisp,General mills,Cold,125,3.0,2,170,1.5,13.5,10.0,120.0,Standard,Bottom,1.0,0.5,3.0,104.0,6.67
52,Post nat. raisin bran,Post,Cold,120,3.0,1,200,6.0,11.0,14.0,232.5,Standard,Bottom,1.0,0.67,3.8,90.22556390977444,2.33
53,Product 19,Kelloggs,Cold,100,3.0,0,320,1.0,20.0,3.0,45.0,High,Bottom,1.0,1.0,4.2,100.0,3.0
54,Puffed rice,Quaker oats,Cold,85,1.0,0,10,0.0,13.0,0.0,15.0,Minimal,Bottom,1.0,1.0,6.1,100.0,
55,Puffed wheat,Quaker oats,Cold,85,2.0,0,10,1.0,10.0,0.0,50.0,Minimal,Bottom,1.0,1.0,6.3,100.0,0.0
56,Quaker oat squares,Quaker oats,Cold,100,4.0,1,135,2.0,14.0,6.0,110.0,Standard,Bottom,1.0,0.5,5.0,100.0,3.0
57,Quaker oatmeal,Quaker oats,Hot,100,4.5,2,10,2.7,14.6,6.92,110.0,Minimal,Top,1.0,0.67,5.1,100.0,2.56
58,Raisin bran,Kelloggs,Cold,120,3.0,1,210,5.0,14.0,12.0,232.5,Standard,Middle,1.0,0.75,3.9,90.22556390977444,2.4
59,Raisin nut bran,General mills,Cold,100,3.0,2,140,2.5,10.5,8.0,140.0,Standard,Bottom,1.0,0.5,4.0,100.0,3.2
60,Raisin squares,Kelloggs,Cold,90,2.0,0,10,2.0,15.0,6.0,110.0,Standard,Bottom,1.0,0.5,5.5,90.0,3.0
61,Rice chex,Ralston purina,Cold,110,1.0,0,240,0.0,23.0,2.0,30.0,Standard,Top,1.0,1.13,4.2,110.0,33.03
62,Rice krispies,Kelloggs,Cold,110,2.0,0,290,0.0,22.0,3.0,35.0,Standard,Top,1.0,1.0,4.1,110.0,33.03
63,Shredded wheat,Nabisco,Cold,85,2.0,0,10,3.0,16.0,0.0,95.0,Minimal,Top,1.0,1.0,6.8,96.3855421686747,0.0
64,Shredded wheat 'n'bran,Nabisco,Cold,90,3.0,0,10,4.0,19.0,0.0,140.0,Minimal,Top,1.0,0.67,7.4,90.0,0.0
65,Shredded wheat spoon size,Nabisco,Cold,90,3.0,0,10,3.0,20.0,0.0,120.0,Minimal,Top,1.0,0.67,7.3,90.0,0.0
66,Smacks,Kelloggs,Cold,110,2.0,1,70,1.0,9.0,15.0,40.0,Standard,Middle,1.0,0.75,3.1,110.0,15.0
67,Special k,Kelloggs,Cold,110,4.5,0,230,1.0,16.0,3.0,55.0,Standard,Top,1.0,1.0,5.3,110.0,3.0
68,Strawberry fruit wheats,Nabisco,Cold,90,2.0,0,15,3.0,15.0,5.0,90.0,Standard,Middle,1.0,1.0,5.9,90.0,1.67
69,Total corn flakes,General mills,Cold,110,2.0,1,200,0.0,21.0,3.0,35.0,High,Bottom,1.0,1.0,3.9,110.0,33.03
70,Total raisin bran,General mills,Cold,125,3.0,1,190,4.0,15.0,14.0,230.0,High,Bottom,1.0,1.0,2.9,93.33333333333333,3.5
71,Total whole grain,General mills,Cold,100,3.0,1,200,3.0,16.0,3.0,110.0,High,Bottom,1.0,1.0,4.7,100.0,1.0
72,Triples,General mills,Cold,110,2.0,1,250,0.0,21.0,3.0,60.0,Standard,Bottom,1.0,0.75,3.9,110.0,33.03
73,Trix,General mills,Cold,110,1.0,1,140,0.0,13.0,12.0,25.0,Standard,Middle,1.0,1.0,2.8,110.0,33.03
74,Wheat chex,Ralston purina,Cold,100,3.0,1,230,3.0,17.0,3.0,115.0,Standard,Top,1.0,0.67,5.0,100.0,1.0
75,Wheaties,General mills,Cold,100,3.0,1,200,3.0,17.0,3.0,110.0,Standard,Top,1.0,1.0,5.2,100.0,1.0
76,Wheaties honey gold,General mills,Cold,110,2.0,1,200,1.0,16.0,8.0,60.0,Standard,Top,1.0,0.75,3.6,110.0,8.0
